,href,title,about
0,https://www.work.ua/jobs/5316952/,"Фінансовий аналітик, finance manager, вакансія від 4 вересня 2023","
            Повна зайнятість. Досвід роботи від 5 років.
                            Helen Marlen Group — понад 27 років майстерності. Представляємо в Україні ліпші бренди взуття та одягу…⁠
"
1,https://www.work.ua/jobs/5309419/,"Спеціаліст з налаштування CRM-системи, бізнес-аналітик, вакансія від 30 серпня 2023","
            Повна зайнятість. Також готові взяти студента, людину з інвалідністю.
                            Увага! Терміново! Наша вакансія — це легкий старт в IT-галузі для кандидата без досвіду роботи  CRM EXPERTS —…⁠
"
2,https://www.work.ua/jobs/5236076/,"Аналітик консолідованої інформації, вакансія від 30 серпня 2023","
            Повна зайнятість. Вища освіта.
                            Транспортно-логістична компаніяHEGELMANN GROUPвже 25 років надає послуги з логістики по всьому світу…⁠
"
3,https://www.work.ua/jobs/5303510/,"Аналітик консолідованої інформації, вакансія від 30 серпня 2023","
            Повна зайнятість. Вища освіта.
                            Опис вакансіїТранспортно-логістична компанія HEGELMANN GROUP вже 25 років надає послуги з логістики по всьому…⁠
"
4,https://www.work.ua/jobs/5209387/,"Аналітик, вакансія від 30 серпня 2023","
            Повна зайнятість. Також готові взяти студента.
                            Транспортно-логістична компанія HEGELMANN GROUP вже 25 років надає послуги з логістики по всьому світу…⁠
"
5,https://www.work.ua/jobs/3755053/,"Аналітик із закупівель, вакансія від 28 серпня 2023","
            Повна зайнятість. Досвід роботи від 1 року.
                            Провідний онлайн-б'юті-ритейлер України та ЄС запрошує до своєї команди аналітика по закупівлям та звітній…⁠
"
6,https://www.work.ua/jobs/5305077/,"Економіст-аналітик, вакансія від 28 серпня 2023","
            Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            Запрошуємо до команди Економіста Вимоги:   Вища освіта у галузі фінансів, бухгалтерії, економіки.   Досвід…⁠
"
7,https://www.work.ua/jobs/5283356/,"Аналітик, вакансія від 4 вересня 2023","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Нафтова компанія SOCAR запрошує на постійну роботу Аналітика (підрозділ технічної експлуатації).  Ми запрошуємо…⁠
"
8,https://www.work.ua/jobs/5317411/,"Провідний фахівець з аналітики та планування логістики, вакансія від 4 вересня 2023","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Вакансія: Провідний фахівець з аналітики та планування логістики Місце роботи: Миколаїв Компанія «НІБУЛОН»…⁠
"
9,https://www.work.ua/jobs/5317373/,"Аналітик з Power BI, вакансія від 4 вересня 2023","
            Повна зайнятість. Також готові взяти людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років. Вища освіта.
                            Товариство Червоного Хреста України (ТЧХУ) оголошує конкурс на посаду Головного спеціаліста з планування,…⁠
"
10,https://www.work.ua/jobs/5255143/,"Інвестиційний аналітик, вакансія від 4 вересня 2023","
            Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Ми шукаємо інвестиційного аналітика з вмінням створювати складні фінансові моделі для оцінки інвестиційних…⁠
"
11,https://www.work.ua/jobs/5247604/,"Бізнес-аналітик (Microsoft Dynamics 365 Business Central) у Чернівці, вакансія від 4 вересня 2023","
            Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Вітаємо! Ми мережа мультибрендових магазинів одягу, взуття та аксесуарів, які наповнюють радістю серця…⁠
"
12,https://www.work.ua/jobs/5135334/,"Бізнес-аналітик напрямку підтримки банківського обладнання, вакансія від 4 вересня 2023","
            Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років. Вища освіта.
                            ПриватБанк — є найбільшим банком України та одним з найбільш інноваційних банків світу. Займає лідуючі…⁠
"
13,https://www.work.ua/jobs/5065431/,"Аналітик баз даних департаменту управління та моделювання портфельних ризиків, вакансія від 4 вересня 2023","
            Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 1 року. Вища освіта.
                            ПриватБанк— є найбільшим банком України та одним з найбільш інноваційних банків світу. Займає лідируючі…⁠
"
